     #Energy           s           p           d       tot  
    -0.14059    -0.00000    -0.00003    -0.00003    -0.00005
    -0.13059    -0.00000    -0.00001    -0.00001    -0.00002
    -0.12059    -0.00000    -0.00000    -0.00000    -0.00001
    -0.11059    -0.00000    -0.00000    -0.00000    -0.00000
    -0.10059    -0.00000    -0.00000    -0.00000    -0.00000
    -0.08959    -0.00000    -0.00000    -0.00000    -0.00000
    -0.07959    -0.00000    -0.00000    -0.00000    -0.00000
    -0.06959    -0.00000    -0.00000    -0.00000    -0.00000
    -0.05959    -0.00000    -0.00000    -0.00000    -0.00000
    -0.04959    -0.00000    -0.00000    -0.00000    -0.00000
    -0.03959    -0.00000    -0.00000    -0.00000    -0.00000
    -0.02959    -0.00000    -0.00000    -0.00000    -0.00000
    -0.01959    -0.00000    -0.00000    -0.00000    -0.00000
    -0.00959    -0.00000    -0.00000    -0.00000    -0.00000
     0.00041    -0.00000    -0.00000    -0.00000    -0.00000
     0.01041    -0.00000    -0.00000    -0.00000    -0.00000
     0.02041    -0.00000    -0.00000    -0.00000    -0.00000
     0.03041    -0.00000    -0.00000    -0.00000    -0.00000
     0.04041    -0.00000    -0.00000    -0.00000    -0.00000
     0.05041     0.00000     0.00000     0.00000     0.00000
     0.06041     0.00000     0.00000     0.00000     0.00000
     0.07041     0.00000     0.00000     0.00000     0.00000
     0.08041     0.00000     0.00000     0.00000     0.00000
     0.09041     0.00000     0.00000     0.00000     0.00000
     0.10041     0.00000     0.00000     0.00000     0.00000
     0.11041     0.00000     0.00000     0.00000     0.00000
     0.12041     0.00000     0.00000     0.00000     0.00000
     0.13041    -0.00000    -0.00000    -0.00000    -0.00000
     0.14041    -0.00000    -0.00000    -0.00000    -0.00000
     0.15041    -0.00000    -0.00000    -0.00000    -0.00000
     0.16041    -0.00000    -0.00000    -0.00000    -0.00000
     0.17041    -0.00000    -0.00000    -0.00000    -0.00000
     0.18041    -0.00000    -0.00000    -0.00000    -0.00000
     0.19041    -0.00000    -0.00000    -0.00000    -0.00000
     0.20041    -0.00000    -0.00000    -0.00000    -0.00000
     0.21041    -0.00000    -0.00000    -0.00000    -0.00000
     0.22041    -0.00000    -0.00000    -0.00000    -0.00000
     0.23041    -0.00000    -0.00000    -0.00000    -0.00000
     0.24041    -0.00000    -0.00000    -0.00000    -0.00000
     0.25041    -0.00000    -0.00000    -0.00000    -0.00000
     0.26041    -0.00000    -0.00000    -0.00000    -0.00000
     0.27041    -0.00000    -0.00000    -0.00000    -0.00000
     0.28041    -0.00000    -0.00000    -0.00000    -0.00000
     0.29041    -0.00000    -0.00001    -0.00000    -0.00001
     0.30041    -0.00000    -0.00002    -0.00000    -0.00002
     0.31041    -0.00000    -0.00004    -0.00001    -0.00005
     0.32041    -0.00000    -0.00011    -0.00003    -0.00013
     0.33041    -0.00000    -0.00024    -0.00006    -0.00031
     0.34041    -0.00000    -0.00052    -0.00013    -0.00065
     0.35041    -0.00000    -0.00101    -0.00025    -0.00127
     0.36041    -0.00000    -0.00182    -0.00046    -0.00228
     0.37041    -0.00000    -0.00303    -0.00076    -0.00380
     0.38041    -0.00001    -0.00466    -0.00118    -0.00584
     0.39041    -0.00001    -0.00662    -0.00167    -0.00829
     0.40041    -0.00001    -0.00868    -0.00219    -0.01087
     0.41041    -0.00001    -0.01051    -0.00265    -0.01317
     0.42041    -0.00001    -0.01175    -0.00296    -0.01472
     0.43041    -0.00001    -0.01213    -0.00305    -0.01520
     0.44041    -0.00001    -0.01156    -0.00291    -0.01449
     0.45041    -0.00001    -0.01018    -0.00257    -0.01276
     0.46041    -0.00001    -0.00828    -0.00209    -0.01037
     0.47041    -0.00001    -0.00621    -0.00157    -0.00779
     0.48041    -0.00000    -0.00431    -0.00109    -0.00540
     0.49041    -0.00000    -0.00276    -0.00069    -0.00346
     0.50041    -0.00000    -0.00163    -0.00041    -0.00204
     0.51041    -0.00000    -0.00089    -0.00022    -0.00112
     0.52041    -0.00000    -0.00045    -0.00011    -0.00056
     0.53041    -0.00000    -0.00021    -0.00005    -0.00026
     0.54041    -0.00000    -0.00009    -0.00002    -0.00011
     0.55041    -0.00000    -0.00004    -0.00001    -0.00004
     0.56041    -0.00000    -0.00001    -0.00000    -0.00002
     0.57041    -0.00000    -0.00000    -0.00000    -0.00001
     0.58041    -0.00000    -0.00000    -0.00000    -0.00000
     0.59041    -0.00000    -0.00000    -0.00000    -0.00000
     0.60041    -0.00000    -0.00001    -0.00000    -0.00001
     0.61041    -0.00000    -0.00003    -0.00001    -0.00004
     0.62041    -0.00000    -0.00008    -0.00002    -0.00010
     0.63041    -0.00000    -0.00019    -0.00005    -0.00024
     0.64041    -0.00000    -0.00044    -0.00012    -0.00056
     0.65041    -0.00000    -0.00093    -0.00025    -0.00118
     0.66041    -0.00001    -0.00181    -0.00048    -0.00230
     0.67041    -0.00001    -0.00326    -0.00087    -0.00414
     0.68041    -0.00002    -0.00542    -0.00145    -0.00689
     0.69041    -0.00004    -0.00834    -0.00223    -0.01061
     0.70041    -0.00005    -0.01186    -0.00318    -0.01509
     0.71041    -0.00007    -0.01560    -0.00420    -0.01987
     0.72041    -0.00009    -0.01901    -0.00517    -0.02426
     0.73041    -0.00010    -0.02155    -0.00595    -0.02760
     0.74041    -0.00011    -0.02285    -0.00651    -0.02946
     0.75041    -0.00011    -0.02291    -0.00687    -0.02989
     0.76041    -0.00010    -0.02211    -0.00720    -0.02941
     0.77041    -0.00010    -0.02109    -0.00767    -0.02885
     0.78041    -0.00009    -0.02046    -0.00843    -0.02898
     0.79041    -0.00010    -0.02063    -0.00950    -0.03023
     0.80041    -0.00010    -0.02164    -0.01078    -0.03252
     0.81041    -0.00011    -0.02325    -0.01202    -0.03538
     0.82041    -0.00012    -0.02502    -0.01300    -0.03814
     0.83041    -0.00013    -0.02654    -0.01353    -0.04020
     0.84041    -0.00014    -0.02749    -0.01355    -0.04118
     0.85041    -0.00014    -0.02763    -0.01310    -0.04087
