#K-Path          Energy     s      p      d    tot
# NKPTS & NBANDS:  19 656
# Band-Index    1
   0.21045    -21.657273  0.000  0.000  0.000  0.000
   0.21045    -21.657273  0.000  0.000  0.000  0.000
   0.25095    -21.632070  0.000  0.000  0.000  0.001
   0.29145    -21.592548  0.000  0.000  0.000  0.001
   0.33196    -21.550787  0.001  0.000  0.000  0.001
   0.33196    -21.550787  0.001  0.000  0.000  0.001
   0.36667    -21.564605  0.000  0.000  0.000  0.001
   0.40139    -21.572957  0.000  0.000  0.000  0.001
   0.43610    -21.578582  0.000  0.000  0.000  0.001
   0.47082    -21.583649  0.000  0.000  0.000  0.001
   0.50553    -21.589357  0.000  0.000  0.000  0.001
   0.54025    -21.595408  0.000  0.000  0.000  0.000
   0.57496    -21.598505  0.000  0.000  0.000  0.000
 
# Band-Index   12
   0.57496    -21.327934  0.000  0.000  0.000  0.000
   0.54025    -21.318189  0.000  0.000  0.000  0.000
   0.50553    -21.294171  0.000  0.000  0.000  0.000
   0.47082    -21.274344  0.000  0.000  0.000  0.001
   0.43610    -21.269969  0.000  0.001  0.000  0.001
   0.40139    -21.272869  0.000  0.001  0.000  0.001
   0.36667    -21.279890  0.000  0.000  0.000  0.001
   0.33196    -21.293583  0.000  0.000  0.000  0.001
   0.33196    -21.293583  0.000  0.000  0.000  0.001
   0.29145    -21.277991  0.000  0.000  0.000  0.001
   0.25095    -21.270426  0.000  0.000  0.000  0.001
   0.21045    -21.268097  0.000  0.000  0.000  0.001
   0.21045    -21.268097  0.000  0.000  0.000  0.001
   0.17538    -21.266606  0.000  0.000  0.000  0.001
   0.14030    -21.262749  0.000  0.000  0.000  0.001
   0.10523    -21.259243  0.000  0.001  0.000  0.001
   0.07015    -21.281212  0.000  0.000  0.000  0.000
   0.03508    -21.314820  0.000  0.000  0.000  0.000
   0.00000    -21.327934  0.000  0.000  0.000  0.000
 
# Band-Index   13
   0.00000    -21.243508  0.000  0.001  0.000  0.001
   0.03508    -21.244703  0.000  0.001  0.000  0.001
   0.07015    -21.246928  0.000  0.001  0.000  0.001
   0.10523    -21.226120  0.000  0.000  0.000  0.000
   0.14030    -21.176224  0.000  0.000  0.000  0.000
   0.17538    -21.133505  0.000  0.000  0.000  0.000
   0.21045    -21.116632  0.000  0.000  0.000  0.000
   0.21045    -21.116632  0.000  0.000  0.000  0.000
   0.25095    -21.110272  0.000  0.000  0.000  0.001
   0.29145    -21.096978  0.000  0.000  0.000  0.001
   0.33196    -21.101220  0.000  0.000  0.000  0.000
   0.33196    -21.101220  0.000  0.000  0.000  0.000
   0.36667    -21.072708  0.000  0.000  0.000  0.001
   0.40139    -21.104857  0.000  0.000  0.000  0.000
   0.43610    -21.161323  0.000  0.000  0.000  0.000
   0.47082    -21.209770  0.000  0.000  0.000  0.001
   0.50553    -21.235038  0.000  0.001  0.000  0.001
   0.54025    -21.242059  0.000  0.001  0.000  0.001
   0.57496    -21.243508  0.000  0.001  0.000  0.001
 
# Band-Index   14
   0.57496    -21.018693  0.000  0.001  0.000  0.001
   0.54025    -21.024042  0.000  0.001  0.000  0.001
   0.50553    -21.036664  0.000  0.000  0.000  0.001
   0.47082    -21.049583  0.000  0.000  0.000  0.001
   0.43610    -21.057642  0.001  0.000  0.000  0.001
   0.40139    -21.060425  0.000  0.000  0.000  0.001
   0.36667    -21.048931  0.000  0.000  0.000  0.000
   0.33196    -21.019314  0.001  0.000  0.000  0.001
   0.33196    -21.019314  0.001  0.000  0.000  0.001
   0.29145    -21.004860  0.000  0.000  0.000  0.000
   0.25095    -20.991399  0.000  0.000  0.000  0.000
   0.21045    -20.988499  0.000  0.000  0.000  0.000
   0.21045    -20.988499  0.000  0.000  0.000  0.000
   0.17538    -21.003695  0.000  0.000  0.000  0.001
   0.14030    -21.016145  0.000  0.000  0.000  0.001
   0.10523    -21.019823  0.000  0.000  0.000  0.001
   0.07015    -21.019918  0.000  0.001  0.000  0.001
   0.03508    -21.019105  0.000  0.001  0.000  0.001
   0.00000    -21.018693  0.000  0.001  0.000  0.001
 
# Band-Index   15
   0.00000    -20.719637  0.002  0.000  0.001  0.002
   0.03508    -20.725890  0.001  0.000  0.000  0.002
   0.07015    -20.752882  0.000  0.000  0.000  0.001
   0.10523    -20.795512  0.000  0.000  0.000  0.001
   0.14030    -20.844091  0.000  0.001  0.000  0.001
   0.17538    -20.894104  0.000  0.001  0.000  0.001
   0.21045    -20.924350  0.000  0.000  0.000  0.001
   0.21045    -20.924350  0.000  0.000  0.000  0.001
   0.25095    -20.936901  0.001  0.000  0.000  0.001
   0.29145    -20.960056  0.000  0.000  0.000  0.001
   0.33196    -20.970890  0.000  0.000  0.000  0.001
   0.33196    -20.970890  0.000  0.000  0.000  0.001
   0.36667    -20.965387  0.000  0.000  0.000  0.001
   0.40139    -20.911827  0.000  0.000  0.000  0.001
   0.43610    -20.842772  0.000  0.000  0.000  0.001
   0.47082    -20.788465  0.000  0.000  0.000  0.001
   0.50553    -20.753385  0.001  0.000  0.000  0.001
   0.54025    -20.728929  0.001  0.000  0.001  0.002
