     #Energy           s           p           d       tot  
     0.50041    -0.00082    -0.01091     0.00000    -0.01172
     0.51041    -0.00045    -0.00596     0.00000    -0.00640
     0.52041    -0.00022    -0.00300     0.00000    -0.00323
     0.53041    -0.00010    -0.00140     0.00000    -0.00150
     0.54041    -0.00004    -0.00060     0.00000    -0.00065
     0.55041    -0.00002    -0.00024     0.00000    -0.00026
     0.56041    -0.00001    -0.00009     0.00000    -0.00009
     0.57041    -0.00000    -0.00003     0.00000    -0.00003
     0.58041    -0.00000    -0.00001     0.00000    -0.00001
     0.59041    -0.00000    -0.00001     0.00000    -0.00001
     0.60041    -0.00000    -0.00004     0.00000    -0.00004
     0.61041    -0.00000    -0.00010     0.00000    -0.00011
     0.62041    -0.00001    -0.00028     0.00000    -0.00029
     0.63041    -0.00003    -0.00069     0.00000    -0.00072
     0.64041    -0.00007    -0.00157     0.00000    -0.00164
     0.65041    -0.00014    -0.00333     0.00000    -0.00347
     0.66041    -0.00028    -0.00649     0.00000    -0.00677
     0.67041    -0.00050    -0.01170     0.00000    -0.01220
     0.68041    -0.00084    -0.01948     0.00000    -0.02032
     0.69041    -0.00129    -0.02997     0.00000    -0.03127
     0.70041    -0.00184    -0.04267     0.00000    -0.04451
     0.71041    -0.00243    -0.05627     0.00000    -0.05869
     0.72041    -0.00297    -0.06893     0.00000    -0.07190
     0.73041    -0.00340    -0.07885     0.00000    -0.08225
     0.74041    -0.00366    -0.08500     0.00000    -0.08866
     0.75041    -0.00378    -0.08775     0.00000    -0.09153
     0.76041    -0.00381    -0.08875     0.00000    -0.09256
     0.77041    -0.00388    -0.09043     0.00000    -0.09431
     0.78041    -0.00408    -0.09492     0.00000    -0.09900
     0.79041    -0.00446    -0.10311     0.00000    -0.10756
     0.80041    -0.00499    -0.11425     0.00000    -0.11924
     0.81041    -0.00560    -0.12635     0.00000    -0.13195
     0.82041    -0.00620    -0.13701     0.00000    -0.14321
     0.83041    -0.00669    -0.14423     0.00000    -0.15091
     0.84041    -0.00700    -0.14686     0.00000    -0.15386
     0.85041    -0.00712    -0.14471     0.00000    -0.15183
     0.86041    -0.00701    -0.13823     0.00000    -0.14524
     0.87041    -0.00671    -0.12841     0.00000    -0.13512
     0.88041    -0.00628    -0.11693     0.00000    -0.12321
     0.89041    -0.00589    -0.10627     0.00000    -0.11216
     0.90041    -0.00572    -0.09964     0.00000    -0.10536
     0.91141    -0.00599    -0.10038     0.00000    -0.10637
     0.92141    -0.00688    -0.11083     0.00000    -0.11772
     0.93141    -0.00843    -0.13137     0.00000    -0.13980
     0.94141    -0.01052    -0.15970     0.00000    -0.17022
     0.95141    -0.01283    -0.19083     0.00000    -0.20366
     0.96141    -0.01495    -0.21845     0.00000    -0.23340
     0.97141    -0.01641    -0.23635     0.00000    -0.25277
     0.98141    -0.01693    -0.24008     0.00000    -0.25701
     0.99141    -0.01636    -0.22853     0.00000    -0.24489
     1.00141    -0.01485    -0.20447     0.00000    -0.21932
     1.01141    -0.01280    -0.17330     0.00000    -0.18610
     1.02141    -0.01070    -0.14190     0.00000    -0.15260
     1.03141    -0.00905    -0.11677     0.00000    -0.12582
     1.04141    -0.00823    -0.10265     0.00000    -0.11088
     1.05141    -0.00841    -0.10177     0.00000    -0.11018
     1.06141    -0.00956    -0.11362     0.00000    -0.12317
     1.07141    -0.01144    -0.13537     0.00000    -0.14680
     1.08141    -0.01368    -0.16260     0.00000    -0.17629
     1.09141    -0.01588    -0.19027     0.00000    -0.20614
     1.10141    -0.01760    -0.21312     0.00000    -0.23072
     1.11141    -0.01854    -0.22683     0.00000    -0.24537
     1.12141    -0.01848    -0.22857     0.00000    -0.24705
     1.13141    -0.01741    -0.21729     0.00000    -0.23469
     1.14141    -0.01544    -0.19438     0.00000    -0.20982
     1.15141    -0.01287    -0.16311     0.00000    -0.17598
     1.16141    -0.01005    -0.12816     0.00000    -0.13821
     1.17141    -0.00733    -0.09396     0.00000    -0.10130
     1.18141    -0.00499    -0.06416     0.00000    -0.06915
     1.19141    -0.00316    -0.04073     0.00000    -0.04389
     1.20141    -0.00186    -0.02399     0.00000    -0.02584
     1.21141    -0.00101    -0.01310     0.00000    -0.01411
     1.22141    -0.00051    -0.00662     0.00000    -0.00713
     1.23141    -0.00024    -0.00310     0.00000    -0.00334
     1.24141    -0.00010    -0.00134     0.00000    -0.00145
     1.25141    -0.00004    -0.00054     0.00000    -0.00058
     1.26141    -0.00002    -0.00020     0.00000    -0.00021
     1.27141    -0.00001    -0.00007     0.00000    -0.00007
     1.28141    -0.00000    -0.00002     0.00000    -0.00002
     1.29141    -0.00000    -0.00001     0.00000    -0.00001
     1.30141    -0.00000    -0.00001     0.00000    -0.00001
     1.31141    -0.00000    -0.00002     0.00000    -0.00002
     1.32141    -0.00000    -0.00005     0.00000    -0.00005
     1.33141    -0.00001    -0.00013     0.00000    -0.00014
     1.34141    -0.00002    -0.00031     0.00000    -0.00033
     1.35141    -0.00004    -0.00070     0.00000    -0.00074
     1.36141    -0.00009    -0.00143     0.00000    -0.00152
     1.37141    -0.00017    -0.00271     0.00000    -0.00288
     1.38141    -0.00029    -0.00475     0.00000    -0.00504
     1.39141    -0.00047    -0.00768     0.00000    -0.00815
     1.40141    -0.00070    -0.01146     0.00000    -0.01217
     1.41141    -0.00097    -0.01583     0.00000    -0.01680
     1.42141    -0.00124    -0.02023     0.00000    -0.02147
     1.43141    -0.00147    -0.02399     0.00000    -0.02546
     1.44141    -0.00163    -0.02653     0.00000    -0.02816
     1.45141    -0.00169    -0.02765     0.00000    -0.02934
     1.46141    -0.00169    -0.02767     0.00000    -0.02936
     1.47141    -0.00167    -0.02742     0.00000    -0.02910
     1.48141    -0.00170    -0.02795     0.00000    -0.02965
     1.49141    -0.00183    -0.03011     0.00000    -0.03193
     1.50141    -0.00207    -0.03415     0.00000    -0.03622
     1.51141    -0.00239    -0.03950     0.00000    -0.04189
     1.52141    -0.00271    -0.04488     0.00000    -0.04759
     1.53141    -0.00294    -0.04873     0.00000    -0.05166
     1.54141    -0.00300    -0.04969     0.00000    -0.05269
     1.55141    -0.00284    -0.04720     0.00000    -0.05004
     1.56141    -0.00251    -0.04157     0.00000    -0.04408
     1.57141    -0.00204    -0.03388     0.00000    -0.03592
     1.58141    -0.00154    -0.02554     0.00000    -0.02708
     1.59141    -0.00108    -0.01783     0.00000    -0.01891
     1.60141    -0.00071    -0.01162     0.00000    -0.01232
     1.61141    -0.00045    -0.00729     0.00000    -0.00775
     1.62141    -0.00033    -0.00494     0.00000    -0.00527
     1.63141    -0.00034    -0.00454     0.00000    -0.00488
     1.64141    -0.00051    -0.00621     0.00000    -0.00672
     1.65141    -0.00088    -0.01025     0.00000    -0.01113
     1.66141    -0.00147    -0.01704     0.00000    -0.01852
     1.67141    -0.00231    -0.02675     0.00000    -0.02906
     1.68141    -0.00337    -0.03897     0.00000    -0.04235
     1.69141    -0.00455    -0.05252     0.00000    -0.05707
     1.70141    -0.00566    -0.06542     0.00000    -0.07109
     1.71141    -0.00653    -0.07541     0.00000    -0.08194
     1.72141    -0.00699    -0.08059     0.00000    -0.08758
     1.73141    -0.00697    -0.08030     0.00000    -0.08727
     1.74141    -0.00657    -0.07546     0.00000    -0.08203
     1.75141    -0.00601    -0.06851     0.00000    -0.07452
     1.76141    -0.00557    -0.06270     0.00000    -0.06827
     1.77141    -0.00553    -0.06108     0.00000    -0.06660
     1.78141    -0.00603    -0.06552     0.00000    -0.07156
     1.79141    -0.00710    -0.07617     0.00000    -0.08327
     1.80141    -0.00855    -0.09140     0.00000    -0.09995
     1.81141    -0.01012    -0.10847     0.00000    -0.11858
     1.82141    -0.01152    -0.12456     0.00000    -0.13608
     1.83141    -0.01260    -0.13791     0.00000    -0.15050
     1.84141    -0.01333    -0.14845     0.00000    -0.16178
     1.85141    -0.01388    -0.15773     0.00000    -0.17161
     1.86141    -0.01449    -0.16788     0.00000    -0.18237
     1.87141    -0.01537    -0.18049     0.00000    -0.19586
     1.88141    -0.01660    -0.19564     0.00000    -0.21224
     1.89141    -0.01808    -0.21177     0.00000    -0.22985
     1.90141    -0.01956    -0.22616     0.00000    -0.24572
     1.91241    -0.02075    -0.23585     0.00000    -0.25660
     1.92241    -0.02137    -0.23837     0.00000    -0.25974
     1.93241    -0.02121    -0.23240     0.00000    -0.25361
     1.94241    -0.02021    -0.21779     0.00000    -0.23800
     1.95241    -0.01841    -0.19556     0.00000    -0.21397
     1.96241    -0.01599    -0.16786     0.00000    -0.18385
     1.97241    -0.01326    -0.13777     0.00000    -0.15102
     1.98241    -0.01055    -0.10887     0.00000    -0.11942
     1.99241    -0.00825    -0.08473     0.00000    -0.09298
     2.00241    -0.00665    -0.06816     0.00000    -0.07481
     2.01241    -0.00591    -0.06066     0.00000    -0.06656
     2.02241    -0.00603    -0.06208     0.00000    -0.06811
     2.03241    -0.00684    -0.07057     0.00000    -0.07741
     2.04241    -0.00804    -0.08303     0.00000    -0.09107
     2.05241    -0.00929    -0.09575     0.00000    -0.10504
     2.06241    -0.01027    -0.10560     0.00000    -0.11587
     2.07241    -0.01082    -0.11074     0.00000    -0.12157
     2.08241    -0.01095    -0.11120     0.00000    -0.12215
     2.09241    -0.01081    -0.10847     0.00000    -0.11928
     2.10241    -0.01057    -0.10467     0.00000    -0.11524
     2.11241    -0.01039    -0.10136     0.00000    -0.11175
     2.12241    -0.01025    -0.09891     0.00000    -0.10916
     2.13241    -0.01004    -0.09654     0.00000    -0.10658
     2.14241    -0.00962    -0.09306     0.00000    -0.10268
     2.15241    -0.00889    -0.08779     0.00000    -0.09668
     2.16241    -0.00788    -0.08107     0.00000    -0.08895
     2.17241    -0.00672    -0.07414     0.00000    -0.08086
     2.18241    -0.00561    -0.06850     0.00000    -0.07410
     2.19241    -0.00470    -0.06520     0.00000    -0.06990
     2.20241    -0.00406    -0.06438     0.00000    -0.06844
     2.21241    -0.00368    -0.06521     0.00000    -0.06888
     2.22241    -0.00345    -0.06633     0.00000    -0.06978
     2.23241    -0.00327    -0.06635     0.00000    -0.06962
     2.24241    -0.00305    -0.06425     0.00000    -0.06730
     2.25241    -0.00274    -0.05969     0.00000    -0.06243
