     #Energy           s           p           d       tot  
     0.96141     0.02374     1.74907     0.00000     1.77281
     0.97141     0.02840     2.08142     0.00000     2.10982
     0.98141     0.03149     2.30466     0.00000     2.33615
     0.99141     0.03235     2.36658     0.00000     2.39893
     1.00141     0.03080     2.25592     0.00000     2.28672
     1.01141     0.02730     2.00626     0.00000     2.03356
     1.02141     0.02278     1.68617     0.00000     1.70895
     1.03141     0.01833     1.37763     0.00000     1.39596
     1.04141     0.01493     1.15191     0.00000     1.16684
     1.05141     0.01318     1.05263     0.00000     1.06582
     1.06141     0.01329     1.08863     0.00000     1.10192
     1.07141     0.01506     1.23727     0.00000     1.25232
     1.08141     0.01802     1.45463     0.00000     1.47265
     1.09141     0.02161     1.68800     0.00000     1.70960
     1.10141     0.02518     1.88822     0.00000     1.91340
     1.11141     0.02817     2.01747     0.00000     2.04563
     1.12141     0.03005     2.05312     0.00000     2.08317
     1.13141     0.03047     1.98880     0.00000     2.01927
     1.14141     0.02926     1.83114     0.00000     1.86040
     1.15141     0.02651     1.59912     0.00000     1.62563
     1.16141     0.02257     1.32052     0.00000     1.34309
     1.17141     0.01800     1.02719     0.00000     1.04519
     1.18141     0.01339     0.74989     0.00000     0.76329
     1.19141     0.00928     0.51204     0.00000     0.52132
     1.20141     0.00597     0.32600     0.00000     0.33197
     1.21141     0.00357     0.19308     0.00000     0.19665
     1.22141     0.00197     0.10617     0.00000     0.10815
     1.23141     0.00101     0.05413     0.00000     0.05514
     1.24141     0.00048     0.02556     0.00000     0.02604
     1.25141     0.00021     0.01117     0.00000     0.01138
     1.26141     0.00008     0.00452     0.00000     0.00461
     1.27141     0.00003     0.00173     0.00000     0.00176
     1.28141     0.00001     0.00074     0.00000     0.00075
     1.29141     0.00001     0.00070     0.00000     0.00070
     1.30141     0.00001     0.00154     0.00000     0.00155
     1.31141     0.00001     0.00403     0.00000     0.00404
     1.32141     0.00003     0.00999     0.00000     0.01003
     1.33141     0.00008     0.02295     0.00000     0.02303
     1.34141     0.00016     0.04871     0.00000     0.04887
     1.35141     0.00032     0.09545     0.00000     0.09577
     1.36141     0.00058     0.17273     0.00000     0.17331
     1.37141     0.00098     0.28865     0.00000     0.28962
     1.38141     0.00151     0.44548     0.00000     0.44699
     1.39141     0.00215     0.63488     0.00000     0.63702
     1.40141     0.00283     0.83575     0.00000     0.83857
     1.41141     0.00344     1.01641     0.00000     1.01985
     1.42141     0.00387     1.14264     0.00000     1.14651
     1.43141     0.00404     1.18927     0.00000     1.19331
     1.44141     0.00392     1.15024     0.00000     1.15416
     1.45141     0.00360     1.04265     0.00000     1.04625
     1.46141     0.00321     0.90327     0.00000     0.90648
     1.47141     0.00292     0.77760     0.00000     0.78051
     1.48141     0.00288     0.70670     0.00000     0.70958
     1.49141     0.00320     0.71537     0.00000     0.71856
     1.50141     0.00386     0.80520     0.00000     0.80906
     1.51141     0.00475     0.95363     0.00000     0.95838
     1.52141     0.00568     1.11935     0.00000     1.12503
     1.53141     0.00642     1.25396     0.00000     1.26038
     1.54141     0.00676     1.31572     0.00000     1.32247
     1.55141     0.00659     1.28249     0.00000     1.28908
     1.56141     0.00595     1.15725     0.00000     1.16320
     1.57141     0.00497     0.96534     0.00000     0.97031
     1.58141     0.00383     0.74419     0.00000     0.74802
     1.59141     0.00274     0.53065     0.00000     0.53338
     1.60141     0.00182     0.35145     0.00000     0.35327
     1.61141     0.00116     0.22013     0.00000     0.22129
     1.62141     0.00078     0.13925     0.00000     0.14003
     1.63141     0.00069     0.10629     0.00000     0.10698
     1.64141     0.00090     0.11893     0.00000     0.11984
     1.65141     0.00145     0.17778     0.00000     0.17923
     1.66141     0.00238     0.28528     0.00000     0.28766
     1.67141     0.00370     0.44132     0.00000     0.44503
     1.68141     0.00537     0.63774     0.00000     0.64311
     1.69141     0.00721     0.85448     0.00000     0.86169
     1.70141     0.00899     1.06088     0.00000     1.06988
     1.71141     0.01047     1.22325     0.00000     1.23372
     1.72141     0.01147     1.31652     0.00000     1.32799
     1.73141     0.01201     1.33511     0.00000     1.34713
     1.74141     0.01232     1.29740     0.00000     1.30973
     1.75141     0.01276     1.23986     0.00000     1.25262
     1.76141     0.01369     1.20436     0.00000     1.21805
     1.77141     0.01534     1.22362     0.00000     1.23896
     1.78141     0.01768     1.31267     0.00000     1.33035
     1.79141     0.02055     1.47013     0.00000     1.49068
     1.80141     0.02367     1.68683     0.00000     1.71051
     1.81141     0.02689     1.95462     0.00000     1.98151
     1.82141     0.03015     2.26924     0.00000     2.29939
     1.83141     0.03345     2.62338     0.00000     2.65683
     1.84141     0.03668     2.99321     0.00000     3.02989
     1.85141     0.03945     3.33113     0.00000     3.37059
     1.86141     0.04118     3.57042     0.00000     3.61160
     1.87141     0.04121     3.64371     0.00000     3.68492
     1.88141     0.03914     3.50948     0.00000     3.54862
     1.89141     0.03498     3.16945     0.00000     3.20443
     1.90141     0.02928     2.67283     0.00000     2.70210
     1.91241     0.02286     2.09930     0.00000     2.12215
     1.92241     0.01663     1.53454     0.00000     1.55117
     1.93241     0.01131     1.04688     0.00000     1.05820
     1.94241     0.00731     0.67562     0.00000     0.68293
     1.95241     0.00473     0.43198     0.00000     0.43672
     1.96241     0.00350     0.30849     0.00000     0.31199
     1.97241     0.00346     0.28963     0.00000     0.29309
     1.98241     0.00444     0.35836     0.00000     0.36281
     1.99241     0.00624     0.49672     0.00000     0.50296
     2.00241     0.00860     0.68253     0.00000     0.69113
     2.01241     0.01115     0.88715     0.00000     0.89830
     2.02241     0.01345     1.07739     0.00000     1.09083
     2.03241     0.01507     1.22356     0.00000     1.23863
     2.04241     0.01576     1.31046     0.00000     1.32622
     2.05241     0.01552     1.34543     0.00000     1.36095
     2.06241     0.01466     1.35772     0.00000     1.37239
     2.07241     0.01370     1.38822     0.00000     1.40191
     2.08241     0.01313     1.47133     0.00000     1.48447
     2.09241     0.01331     1.61831     0.00000     1.63162
     2.10241     0.01423     1.80880     0.00000     1.82304
     2.11241     0.01559     1.99626     0.00000     2.01185
