#K-Path          Energy     s      p      d    tot
# NKPTS & NBANDS:  19 656
# Band-Index    1
   0.43610    -20.845283  0.021  0.000  0.000  0.021
   0.47082    -20.791188  0.022  0.001  0.000  0.023
   0.50553    -20.755830  0.021  0.001  0.000  0.023
   0.54025    -20.731107  0.024  0.001  0.000  0.025
   0.57496    -20.721721  0.027  0.001  0.000  0.027
 
# Band-Index   16
   0.57496    -20.652030  0.005  0.001  0.000  0.007
   0.54025    -20.651992  0.012  0.002  0.000  0.013
   0.50553    -20.664563  0.020  0.002  0.000  0.021
   0.47082    -20.710983  0.022  0.001  0.000  0.023
   0.43610    -20.756273  0.021  0.002  0.000  0.024
   0.40139    -20.774760  0.022  0.002  0.000  0.025
   0.36667    -20.770739  0.020  0.001  0.000  0.021
   0.33196    -20.747155  0.013  0.000  0.000  0.013
   0.33196    -20.747155  0.013  0.000  0.000  0.013
   0.29145    -20.728301  0.013  0.001  0.000  0.015
   0.25095    -20.681282  0.018  0.001  0.000  0.020
   0.21045    -20.669841  0.023  0.001  0.000  0.024
   0.21045    -20.669841  0.023  0.001  0.000  0.024
   0.17538    -20.666290  0.024  0.000  0.000  0.026
   0.14030    -20.662709  0.026  0.001  0.000  0.028
   0.10523    -20.666799  0.029  0.001  0.000  0.030
   0.07015    -20.671598  0.024  0.002  0.000  0.026
   0.03508    -20.663934  0.012  0.003  0.000  0.014
   0.00000    -20.652030  0.005  0.001  0.000  0.007
 
# Band-Index   17
   0.00000    -20.530298  0.006  0.009  0.000  0.014
   0.03508    -20.513345  0.008  0.006  0.000  0.014
   0.07015    -20.502059  0.011  0.001  0.000  0.012
   0.10523    -20.532643  0.006  0.001  0.000  0.009
   0.14030    -20.568921  0.009  0.003  0.000  0.011
   0.17538    -20.585147  0.015  0.003  0.000  0.018
   0.21045    -20.587173  0.016  0.003  0.000  0.020
   0.21045    -20.587173  0.016  0.003  0.000  0.020
   0.25095    -20.630887  0.019  0.002  0.000  0.021
   0.29145    -20.612069  0.027  0.001  0.000  0.027
   0.33196    -20.581498  0.026  0.001  0.000  0.029
   0.33196    -20.581498  0.026  0.001  0.000  0.029
   0.36667    -20.545754  0.024  0.001  0.000  0.024
   0.40139    -20.505408  0.021  0.001  0.000  0.022
   0.43610    -20.495158  0.024  0.000  0.000  0.025
   0.47082    -20.517970  0.019  0.000  0.000  0.019
   0.50553    -20.528442  0.014  0.001  0.000  0.016
   0.54025    -20.526332  0.010  0.006  0.000  0.016
   0.57496    -20.530298  0.006  0.009  0.000  0.014
 
# Band-Index   18
   0.57496    -20.346312  0.016  0.000  0.000  0.016
   0.54025    -20.385066  0.006  0.006  0.000  0.011
   0.50553    -20.409470  0.003  0.008  0.000  0.013
   0.47082    -20.414030  0.013  0.005  0.000  0.018
   0.43610    -20.440550  0.019  0.002  0.000  0.021
   0.40139    -20.446439  0.031  0.002  0.000  0.034
   0.36667    -20.428828  0.037  0.001  0.000  0.038
   0.33196    -20.412479  0.039  0.002  0.000  0.042
   0.33196    -20.412479  0.039  0.002  0.000  0.042
   0.29145    -20.427954  0.034  0.001  0.000  0.035
   0.25095    -20.485816  0.022  0.002  0.000  0.026
   0.21045    -20.556991  0.015  0.001  0.000  0.017
   0.21045    -20.556991  0.015  0.001  0.000  0.017
   0.17538    -20.546966  0.015  0.000  0.000  0.017
   0.14030    -20.520684  0.016  0.000  0.000  0.017
   0.10523    -20.482298  0.014  0.001  0.000  0.015
   0.07015    -20.435080  0.008  0.004  0.000  0.011
   0.03508    -20.380609  0.009  0.003  0.000  0.013
   0.00000    -20.346312  0.016  0.000  0.000  0.016
 
# Band-Index   19
   0.00000    -20.296425  0.014  0.001  0.000  0.016
   0.03508    -20.318966  0.012  0.004  0.000  0.016
   0.07015    -20.335863  0.007  0.008  0.000  0.015
   0.10523    -20.306005  0.008  0.010  0.000  0.018
   0.14030    -20.255972  0.016  0.007  0.000  0.022
   0.17538    -20.215873  0.023  0.005  0.000  0.028
   0.21045    -20.201367  0.026  0.004  0.000  0.030
   0.21045    -20.201367  0.026  0.004  0.000  0.030
   0.25095    -20.202500  0.025  0.004  0.000  0.031
   0.29145    -20.184951  0.027  0.003  0.000  0.031
   0.33196    -20.156626  0.035  0.002  0.000  0.038
   0.33196    -20.156626  0.035  0.002  0.000  0.038
   0.36667    -20.193140  0.030  0.003  0.000  0.033
   0.40139    -20.244930  0.022  0.006  0.000  0.028
   0.43610    -20.293030  0.014  0.008  0.000  0.023
   0.47082    -20.325228  0.007  0.008  0.000  0.016
   0.50553    -20.322795  0.010  0.003  0.000  0.014
   0.54025    -20.305589  0.013  0.002  0.000  0.015
   0.57496    -20.296425  0.014  0.001  0.000  0.016
 
# Band-Index   20
   0.57496    -20.231286  0.001  0.007  0.000  0.010
   0.54025    -20.179894  0.010  0.005  0.000  0.014
   0.50553    -20.114825  0.013  0.001  0.000  0.015
   0.47082    -20.066020  0.011  0.002  0.000  0.013
   0.43610    -20.019172  0.010  0.003  0.000  0.013
   0.40139    -19.980951  0.016  0.003  0.000  0.020
   0.36667    -19.976560  0.020  0.006  0.000  0.025
   0.33196    -19.994884  0.014  0.009  0.000  0.022
   0.33196    -19.994884  0.014  0.009  0.000  0.022
   0.29145    -20.001579  0.025  0.006  0.000  0.030
   0.25095    -20.007665  0.026  0.006  0.000  0.032
   0.21045    -20.018103  0.028  0.007  0.000  0.034
   0.21045    -20.018103  0.028  0.007  0.000  0.034
   0.17538    -20.022495  0.025  0.006  0.000  0.031
   0.14030    -20.022505  0.022  0.004  0.000  0.027
   0.10523    -20.029627  0.017  0.004  0.000  0.019
   0.07015    -20.099256  0.011  0.004  0.000  0.014
   0.03508    -20.182461  0.008  0.005  0.000  0.012
   0.00000    -20.231286  0.001  0.007  0.000  0.010
 
# Band-Index   21
   0.00000    -20.019780  0.008  0.000  0.000  0.009
   0.03508    -20.001728  0.011  0.001  0.000  0.013
   0.07015    -19.978567  0.018  0.001  0.000  0.021
   0.10523    -19.958716  0.022  0.001  0.000  0.024
   0.14030    -19.916168  0.041  0.003  0.000  0.045
   0.17538    -19.924151  0.038  0.004  0.000  0.043
   0.21045    -19.933620  0.032  0.005  0.000  0.038
   0.21045    -19.933620  0.032  0.005  0.000  0.038
   0.25095    -19.928781  0.029  0.007  0.000  0.036
   0.29145    -19.910072  0.018  0.008  0.000  0.026
   0.33196    -19.912269  0.010  0.005  0.000  0.015
   0.33196    -19.912269  0.010  0.005  0.000  0.015
   0.36667    -19.862161  0.012  0.009  0.000  0.021
   0.40139    -19.867990  0.017  0.004  0.000  0.022
   0.43610    -19.901359  0.024  0.001  0.000  0.027
   0.47082    -19.935472  0.022  0.002  0.000  0.025
   0.50553    -19.976978  0.014  0.003  0.000  0.016
   0.54025    -20.009963  0.008  0.000  0.000  0.011
   0.57496    -20.019780  0.008  0.000  0.000  0.009
 
# Band-Index   22
   0.57496    -19.887066  0.023  0.001  0.000  0.025
   0.54025    -19.880216  0.023  0.001  0.000  0.024
   0.50553    -19.857094  0.021  0.000  0.000  0.022
   0.47082    -19.830163  0.029  0.000  0.000  0.030
   0.43610    -19.824121  0.027  0.004  0.000  0.031
   0.40139    -19.829195  0.019  0.005  0.000  0.023
   0.36667    -19.810568  0.007  0.002  0.000  0.010
   0.33196    -19.775507  0.005  0.005  0.000  0.010
   0.33196    -19.775507  0.005  0.005  0.000  0.010
   0.29145    -19.756104  0.003  0.002  0.000  0.006
   0.25095    -19.707979  0.008  0.006  0.000  0.013
   0.21045    -19.696718  0.011  0.008  0.000  0.021
   0.21045    -19.696718  0.011  0.008  0.000  0.021
   0.17538    -19.753295  0.009  0.002  0.000  0.013
   0.14030    -19.849426  0.013  0.001  0.000  0.014
   0.10523    -19.885537  0.032  0.003  0.000  0.035
   0.07015    -19.887913  0.024  0.002  0.000  0.027
   0.03508    -19.887910  0.021  0.001  0.000  0.023
   0.00000    -19.887066  0.023  0.001  0.000  0.025
 
# Band-Index   23
   0.00000    -19.781350  0.032  0.002  0.000  0.034
   0.03508    -19.784427  0.034  0.001  0.000  0.039
   0.07015    -19.767591  0.032  0.001  0.000  0.032
   0.10523    -19.710663  0.020  0.001  0.000  0.021
   0.14030    -19.641022  0.013  0.005  0.000  0.019
   0.17538    -19.602408  0.014  0.012  0.000  0.025
   0.21045    -19.580763  0.010  0.003  0.000  0.012
   0.21045    -19.580763  0.010  0.003  0.000  0.012
   0.25095    -19.633491  0.013  0.007  0.000  0.020
   0.29145    -19.652646  0.013  0.008  0.000  0.022
   0.33196    -19.648817  0.013  0.002  0.000  0.014
   0.33196    -19.648817  0.013  0.002  0.000  0.014
   0.36667    -19.660434  0.014  0.007  0.000  0.021
   0.40139    -19.637188  0.017  0.012  0.000  0.030
   0.43610    -19.637528  0.017  0.004  0.000  0.022
   0.47082    -19.717259  0.024  0.002  0.000  0.026
   0.50553    -19.763174  0.037  0.003  0.000  0.039
   0.54025    -19.777167  0.034  0.002  0.000  0.039
   0.57496    -19.781350  0.032  0.002  0.000  0.034
 
# Band-Index   24
   0.57496    -19.607446  0.024  0.003  0.000  0.026
   0.54025    -19.593273  0.018  0.002  0.000  0.020
   0.50553    -19.554768  0.009  0.005  0.000  0.013
   0.47082    -19.513579  0.007  0.008  0.000  0.013
   0.43610    -19.521792  0.013  0.011  0.000  0.025
   0.40139    -19.479942  0.003  0.004  0.000  0.007
   0.36667    -19.551693  0.016  0.008  0.000  0.024
   0.33196    -19.584597  0.020  0.012  0.000  0.034
   0.33196    -19.584597  0.020  0.012  0.000  0.034
   0.29145    -19.569507  0.021  0.007  0.000  0.028
   0.25095    -19.536974  0.015  0.006  0.000  0.021
   0.21045    -19.529767  0.011  0.009  0.000  0.021
   0.21045    -19.529767  0.011  0.009  0.000  0.021
   0.17538    -19.493393  0.010  0.006  0.000  0.015
   0.14030    -19.490486  0.014  0.013  0.000  0.025
   0.10523    -19.491082  0.009  0.009  0.000  0.018
   0.07015    -19.533870  0.012  0.003  0.000  0.017
   0.03508    -19.584000  0.019  0.002  0.000  0.021
   0.00000    -19.607446  0.024  0.003  0.000  0.026
 
# Band-Index   25
   0.00000    -19.237932  0.048  0.004  0.000  0.052
   0.03508    -19.259445  0.044  0.007  0.000  0.051
   0.07015    -19.314517  0.037  0.010  0.000  0.048
   0.10523    -19.371451  0.029  0.008  0.000  0.038
   0.14030    -19.387443  0.017  0.004  0.000  0.021
   0.17538    -19.421549  0.009  0.003  0.000  0.013
   0.21045    -19.444114  0.005  0.002  0.000  0.007
   0.21045    -19.444114  0.005  0.002  0.000  0.007
   0.25095    -19.377059  0.007  0.005  0.000  0.012
   0.29145    -19.322647  0.014  0.004  0.000  0.018
   0.33196    -19.388784  0.020  0.004  0.000  0.024
   0.33196    -19.388784  0.020  0.004  0.000  0.024
   0.36667    -19.385054  0.019  0.002  0.000  0.020
   0.40139    -19.436471  0.022  0.005  0.000  0.027
   0.43610    -19.386260  0.012  0.008  0.000  0.019
